Quantity,"Description from basket","Part number","Manufacturer (abbreviation)","Manufacturer (full name)","Type number","Order number","Product group","Description 1","Description 2","Description 3","Long description","Link to graphic file","Link to external document 1","Link to external document 2","Link to external document 3","Relative path of the DXF file"
#
#
1,,LSE.ELCB_EBS32Fb_5A_30mA,LSE,"LS Electric",ELCB_EBS32Fb_5A_30mA,ELCB_EBS32Fb_5A_30mA,,ELCB,5A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=30mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_5A_15mA,LSE,"LS Electric",ELCB_EBS32Fb_5A_15mA,ELCB_EBS32Fb_5A_15mA,,ELCB,5A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=15mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_3A_30mA,LSE,"LS Electric",ELCB_EBS32Fb_3A_30mA,ELCB_EBS32Fb_3A_30mA,,ELCB,3A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=30mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_3A_15mA,LSE,"LS Electric",ELCB_EBS32Fb_3A_15mA,ELCB_EBS32Fb_3A_15mA,,ELCB,3A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=15mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_30A_15mA,LSE,"LS Electric",ELCB_EBS32Fb_30A_15mA,ELCB_EBS32Fb_30A_15mA,,ELCB,30A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=15mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_10A_15mA,LSE,"LS Electric",ELCB_EBS32Fb_10A_15mA,ELCB_EBS32Fb_10A_15mA,,ELCB,10A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=15mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_10A_30mA,LSE,"LS Electric",ELCB_EBS32Fb_10A_30mA,ELCB_EBS32Fb_10A_30mA,,ELCB,10A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=30mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
1,,LSE.ELCB_EBS32Fb_20A_30mA,LSE,"LS Electric",ELCB_EBS32Fb_20A_30mA,ELCB_EBS32Fb_20A_30mA,,ELCB,20A,,"Rated ultimate short-circuit breaking capacity(Icu) 5kA at 220Vac, Hydraulic-Magnetic trip unit, I△n=30mA",,"LS Electric\ELCB\Household Series\분전반차단기 32GRhH_Leaflet_KO_202004.pdf",,,dxf/
